2025-11-30 16:21:42,122 INFO    MainThread:26294 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_setup.py:_flush():80] Configure stats pid to 26294
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_setup.py:_flush():80] Loading settings from /home/wenjia/.config/wandb/settings
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_setup.py:_flush():80] Loading settings from /home/wenjia/CBFRL/gazebo_env/wandb/settings
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /home/wenjia/CBFRL/gazebo_env/wandb/run-20251130_162142-812yctp6/logs/debug.log
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /home/wenjia/CBFRL/gazebo_env/wandb/run-20251130_162142-812yctp6/logs/debug-internal.log
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_init.py:init():840] calling init triggers
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'policy': 'MlpPolicy', 'learning_rate': 0.0005, 'gamma': 0.99, 'n_steps': 1024, 'batch_size': 512, '_wandb': {}}
2025-11-30 16:21:42,123 INFO    MainThread:26294 [wandb_init.py:init():888] starting backend
2025-11-30 16:21:42,403 INFO    MainThread:26294 [wandb_init.py:init():891] sending inform_init request
2025-11-30 16:21:42,411 INFO    MainThread:26294 [wandb_init.py:init():899] backend started and connected
2025-11-30 16:21:42,445 INFO    MainThread:26294 [wandb_init.py:init():969] updated telemetry
2025-11-30 16:21:42,455 INFO    MainThread:26294 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-30 16:21:43,349 INFO    MainThread:26294 [wandb_init.py:init():1040] starting run threads in backend
2025-11-30 16:21:43,598 INFO    MainThread:26294 [wandb_run.py:_console_start():2504] atexit reg
2025-11-30 16:21:43,598 INFO    MainThread:26294 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-30 16:21:43,598 INFO    MainThread:26294 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-30 16:21:43,598 INFO    MainThread:26294 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-30 16:21:43,602 INFO    MainThread:26294 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-30 16:21:43,790 INFO    wandb-AsyncioManager-main:26294 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-30 16:21:43,791 INFO    wandb-AsyncioManager-main:26294 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
